area_type,availability,location,size,society,total_sqft,bath,balcony,park_faci,dist_mainroad,price
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,1,131,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5,3,0,26,120
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2,3,1,70,62
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,0,14,95
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2,1,1,84,51
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,0,36,38
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4,,0,137,204
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,,0,176,600
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3,1,0,175,63.25
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6,,0,74,370
Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2,2,1,78,70
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5,3,0,143,295
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shnc1,1000,2,1,0,137,38
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2,2,1,83,40
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3,2,0,157,148
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,0,148,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,1,175,48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,1,134,60
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,1,69,290
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2,2,1,168,48
Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1,1,1,53,15
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3,1,1,96,122
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5,2,0,114,380
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3,1,0,100,103
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1,0,0,111,25.25
Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3,2,0,105,56
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,1,29,23.1
Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3,2,1,59,81
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,1,185,48.77
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2,1,0,138,47
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4,0,0,173,186
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,0,15,35
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2,2,1,117,123
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,1,16,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3,,0,130,125
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,1,46,36
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2,1,0,180,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3,2,1,111,125
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2,2,1,36,56.12
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2,2,0,52,45
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2,,0,105,81
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3,2,0,16,38
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1,0,1,86,38
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1,0,1,49,48
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2,2,0,113,91.79
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,600,9,,0,105,200
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2,0,1,189,33
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2,1,1,15,94.82
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1,1,0,28,130
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2,1,0,51,36
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2,1,0,19,50
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3,1,0,167,99
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3,2,1,126,91
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2,2,1,49,75
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2,3,1,75,75
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,0,154,44
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,,,1,25,192
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2,2,1,187,185
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4,1,0,200,150
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2,2,1,32,45
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3,2,1,11,240
